Area;Area harvested(ha)_mean;Area harvested(ha)_median;Area harvested(ha)_std;Area harvested(ha)_max;Area harvested(ha)_min;Production(tonnes)_mean;Production(tonnes)_median;Production(tonnes)_std;Production(tonnes)_max;Production(tonnes)_min;Yield (kg/ha)_mean;Yield (kg/ha)_median;Yield (kg/ha)_std;Yield (kg/ha)_max;Yield (kg/ha)_min
Albania;11733.3;11000.0;3891.33;22032.0;3091.0;141795.4;120958.0;68301.63;274188.2;19552.0;13088.21;9038.9;7602.34;27233.1;5000.0
Austria;52937.19;31760.0;44606.82;171624.0;20368.0;1312197.35;816070.0;914270.86;3498695.0;536472.82;27294.26;26794.9;4336.61;36516.5;17567.2
Belarus;441573.09;404447.0;206735.96;779000.0;173400.0;7091311.72;7455900.0;2165012.94;11644200.0;3405055.0;17751.23;19274.6;4180.34;23397.5;9917.3
Belgium;77737.67;77020.0;13166.37;98190.0;59299.0;3385628.0;3349432.0;572429.24;4416665.0;2522095.0;43781.21;43730.2;4496.31;54000.3;32630.9
Bulgaria;31358.59;33815.0;13337.57;55630.0;7020.0;367242.19;375459.0;128628.39;648741.0;119240.0;12708.71;12065.8;3199.77;21249.7;7526.2
Croatia;31523.75;15521.5;26304.22;66458.0;7230.0;347012.97;262902.5;217839.77;736198.0;103400.0;13902.9;15090.4;3973.28;19661.3;5944.0
Denmark;41185.16;38900.0;9767.46;72330.0;29438.0;1402162.86;1412200.0;500006.16;2762900.0;605556.0;33817.79;36095.6;7850.46;45126.0;17468.8
Estonia;16628.94;10254.5;13815.35;46300.0;3110.0;239877.69;164044.5;178264.79;669100.0;58030.0;16555.78;15400.05;4010.06;26150.9;9714.7
Finland;39085.27;36400.0;15921.8;76942.0;16500.0;736630.11;725600.0;170378.64;1257400.0;477800.0;20619.62;19879.5;5451.17;30187.9;11056.8
France;267865.62;204010.0;176126.15;890176.0;154097.0;7631853.12;7119837.0;2131267.12;15974000.0;4326000.0;33067.89;34883.7;9227.38;47977.9;15378.6
Germany;653046.37;341782.0;462058.49;1705524.0;236700.0;17348974.16;13099568.0;8220955.9;38697568.0;8920800.0;32096.03;30192.8;9450.02;47415.4;16386.6
Greece;47671.25;51417.0;14600.91;69400.0;10960.0;815644.05;907720.0;235401.44;1148000.0;309140.0;18437.79;19841.2;5487.52;30885.1;7121.0
Hungary;84780.57;70239.0;72364.88;268864.0;7570.0;1146905.78;1198681.0;598132.43;2906524.0;199210.0;18192.6;18473.6;6170.57;28571.4;6806.5
Ireland;30285.35;22400.0;21904.33;86237.0;8210.0;799641.94;618000.0;505822.49;2145000.0;232000.0;29463.24;27589.3;6859.46;45632.7;19000.0
Italy;141788.67;106012.0;100536.39;385952.0;45450.0;2377006.2;2218550.0;851939.47;4384200.0;1265450.0;20489.66;21770.0;5702.47;30298.8;9453.1
Latvia;41318.88;39050.0;25162.22;96900.0;7300.0;604009.62;583100.0;299183.19;1271700.0;115100.0;16079.43;15905.6;3154.21;22370.0;11167.0
Lithuania;64760.44;50600.0;43335.19;136200.0;14730.0;882226.56;625100.0;599927.56;2044300.0;200160.0;14187.87;14831.15;2570.48;18148.7;7908.3
Montenegro;1945.89;1589.0;2062.66;10179.0;1211.0;28851.16;23731.95;26432.96;132783.0;12720.0;15261.34;15611.3;2080.58;18550.9;10503.7
Netherlands;158713.1;160034.0;14556.88;187200.0;124596.0;6350126.11;6673036.0;1165114.54;8331000.0;3229591.0;39765.22;41488.1;5105.93;46337.6;25889.8
Norway;21553.35;18130.0;11328.34;53301.0;11505.0;520823.27;435386.0;237083.65;1222200.0;295500.0;24970.82;25164.7;2957.5;31757.9;16406.4
Poland;1569927.6;1757336.0;957892.7;2910100.0;188580.0;27714453.41;27217090.0;15934977.86;51928208.0;5590030.0;19435.02;18598.8;4575.46;34765.8;11260.0
Portugal;80760.22;101161.0;42919.62;135500.0;14480.0;936435.48;1002592.0;369498.78;1641198.0;319830.0;13715.88;13094.6;4513.51;24602.4;7652.3
Romania;265410.1;283089.0;63761.18;351400.0;79490.0;3475182.83;3519329.0;1105536.48;6631200.0;1183470.0;13364.74;13763.4;3214.28;20657.9;6746.0
Slovenia;6002.97;5081.5;3120.21;12928.0;2730.0;122265.06;105199.5;46793.28;195667.0;58230.0;21952.25;22897.75;4147.16;30262.6;12100.0
Spain;231207.33;257152.0;135852.41;416360.0;59360.0;3936324.62;4078500.0;1373287.87;5980676.0;1881920.0;21251.88;19295.2;7557.93;33898.3;10160.4
Sweden;38706.95;35813.0;14472.41;86533.0;22500.0;1087176.03;1036160.0;252897.56;1907750.0;723000.0;29490.15;30195.3;5031.0;37509.6;17630.0
Switzerland;20661.79;17900.0;10556.5;51000.0;10704.0;709875.95;712400.0;255292.02;1245500.0;342752.0;36438.45;37200.0;5883.45;48721.9;23000.0
Turkey;169933.03;174000.0;25009.67;219800.0;124944.0;3780136.65;4227726.0;1292353.88;6000000.0;1405000.0;22484.88;23065.3;8206.78;37766.6;9557.8
Ukraine;1447596.16;1448700.0;128772.11;1705287.0;1204300.0;19680817.38;20053645.0;2668045.51;24248000.0;12723000.0;13789.69;13517.1;2714.64;17648.8;8202.6
United Kingdom;192262.14;177100.0;58057.55;335000.0;115076.0;6440676.3;6485000.0;838055.78;8006000.0;4553000.0;35319.28;37045.6;6973.35;44416.7;21544.9
