,Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean)
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,63.0,11733.301587301587,3891.330250345697,3091.0,9697.0,11000.0,15150.0,22032.0,63.0,141795.39682539683,68301.62736632544,19552.0,97900.0,120958.0,179650.0,274188.0,63.0,13088.190476190477,7602.334208303825,5000.0,7071.5,9039.0,19139.0,27233.0,63.0,197.4920634920635,213.86873220135587,0.0,0.0,121.0,363.5,746.0,63.0,1299.7619047619048,229.06793711837585,864.0,1109.0,1269.0,1492.0,1920.0,63.0,89.01587301587301,52.2983044391443,9.0,39.5,90.0,120.0,183.0,63.0,12.126984126984127,0.7511724919399069,11.0,12.0,12.0,13.0,14.0
Austria,63.0,52937.19047619047,44606.82446553013,20368.0,22737.5,31760.0,64649.5,171624.0,63.0,1312197.349206349,914270.8574532822,536473.0,694605.5,816070.0,1536196.5,3498695.0,63.0,27294.31746031746,4336.668941768171,17567.0,24401.0,26795.0,30134.0,36517.0,63.0,2144.095238095238,2083.579044803604,0.0,0.0,3132.0,3654.5,6069.0,63.0,1223.1587301587301,103.93890984134218,965.0,1144.5,1232.0,1291.5,1454.0,63.0,186.015873015873,54.43092457817732,87.0,137.5,176.0,229.5,277.0,63.0,6.9523809523809526,0.9406341620035445,5.0,6.0,7.0,8.0,9.0
Belarus,32.0,441573.09375,206735.95861549667,173400.0,259850.0,404447.0,661000.0,779000.0,32.0,7091311.71875,2165012.941367761,3405055.0,5082825.0,7455900.0,8666637.25,11644200.0,32.0,17751.28125,4180.387458770245,9917.0,13416.25,19275.0,21015.75,23398.0,32.0,2641.90625,1164.4452468291083,721.0,1889.5,2097.0,3876.25,4853.0,32.0,732.125,79.12209837721004,591.0,679.5,722.0,790.25,928.0,32.0,179.21875,57.57000472076051,84.0,136.0,162.0,220.75,304.0,32.0,7.5625,0.8007053342260588,6.0,7.0,7.5,8.0,9.0
Belgium,24.0,77737.66666666667,13166.372917288247,59299.0,65588.25,77020.0,90425.0,98190.0,24.0,3385628.0,572429.2421771255,2522095.0,2927825.0,3349432.0,3885830.0,4416665.0,24.0,43781.291666666664,4496.257752931553,32631.0,41175.0,43730.5,46929.5,54000.0,24.0,6923.291666666667,1531.6863249988248,4645.0,5929.0,6485.5,8315.25,9776.0,24.0,914.7083333333334,105.30967962722328,724.0,855.0,912.5,986.0,1102.0,24.0,265.9166666666667,92.50001958480013,0.0,256.75,293.0,326.0,339.0,24.0,10.916666666666666,0.7755316082290385,9.0,10.75,11.0,11.0,12.0
Bulgaria,63.0,31358.5873015873,13337.565883544892,7020.0,22069.0,33815.0,40550.0,55630.0,63.0,367242.1904761905,128628.39310172104,119240.0,291614.5,375459.0,442162.5,648741.0,63.0,12708.857142857143,3199.821405586532,7526.0,10582.5,12066.0,14788.0,21250.0,63.0,1617.6507936507937,1757.67648275317,0.0,0.0,1331.0,3198.0,6660.0,63.0,774.4444444444445,108.55350661900866,477.0,713.5,764.0,831.0,1114.0,63.0,130.984126984127,65.26583161380601,31.0,77.5,128.0,169.5,273.0,63.0,11.047619047619047,0.8505893863360072,10.0,10.0,11.0,12.0,13.0
Croatia,32.0,31523.75,26304.21806601588,7230.0,10001.75,15521.5,64668.5,66458.0,32.0,347012.96875,217839.77036396452,103400.0,170265.25,262902.5,556105.25,736198.0,32.0,13903.0625,3973.282237382996,5944.0,10231.25,15090.5,17037.25,19661.0,32.0,2220.34375,566.2142880214852,1224.0,1694.0,2199.0,2630.75,3418.0,32.0,1107.53125,164.36838727039625,713.0,994.75,1100.5,1218.25,1493.0,32.0,231.0625,84.64725192269691,119.0,173.5,205.5,284.0,495.0,32.0,12.03125,0.7822372794046079,10.0,12.0,12.0,13.0,13.0
Denmark,63.0,41185.15873015873,9767.464530854215,29438.0,34471.5,38900.0,43144.0,72330.0,63.0,1402162.857142857,500006.1624611162,605556.0,979572.0,1412200.0,1637320.0,2762900.0,63.0,33817.84126984127,7850.463276254321,17469.0,26101.5,36096.0,40145.0,45126.0,63.0,1905.5873015873017,1894.7207695792167,0.0,0.0,2587.0,3312.5,5959.0,63.0,793.1269841269841,94.77060454549765,564.0,736.0,795.0,855.5,994.0,63.0,186.26984126984127,51.527382745051625,103.0,139.0,185.0,238.5,277.0,63.0,8.444444444444445,0.9634912621224854,7.0,8.0,9.0,9.0,10.0
Estonia,32.0,16628.9375,13815.354639039107,3110.0,5760.75,10254.5,30950.0,46300.0,32.0,239877.6875,178264.78659194976,58030.0,110695.5,164044.5,358250.0,669100.0,32.0,16555.8125,4010.088217495567,9715.0,14156.0,15400.0,18245.5,26151.0,32.0,462.59375,213.47249718980572,133.0,321.0,459.5,606.0,886.0,32.0,758.75,22.480098725532265,698.0,743.5,759.0,775.25,810.0,32.0,68.9375,22.99079409031419,25.0,44.0,75.5,85.25,103.0,32.0,6.03125,0.5378796483685103,5.0,6.0,6.0,6.0,7.0
