Area;Year;Fungicides and Bactericides;Herbicides;Insecticides;Pesticides (total);Precipitation (mm);AVERAGE PRECIPITATION;Item;Area harvested(ha);Production(tonnes);Yield (kg/ha);Production(tonnes).1;Production(kg);Average Mean Surface Air Temperature (Annual Mean);Average Temperature by Country;Temperature Deviation (?);Fertilizer (kg/ha)
Albania;1961;;;;;"975,68";12987771875;Potatoes;4185.0;30188.0;7213.4;30188.0;30188000;"12,21";"12,1386";"0,0714";"14,59"
Albania;1962;;;;;"1577,16";12987771875;Potatoes;3598.0;19552.0;5434.1;19552.0;19552000;"11,88";"12,1386";"-0,2586";"11,93"
Albania;1963;;;;;"1733,86";12987771875;Potatoes;3091.0;23726.0;7675.8;23726.0;23726000;"11,9";"12,1386";"-0,2386";"12,05"
Albania;1964;;;;;"1408,25";12987771875;Potatoes;3729.0;33706.0;9038.9;33706.0;33706000;"11,39";"12,1386";"-0,7486";"14,45"
Albania;1965;;;;;1247;12987771875;Potatoes;3718.0;21395.0;5754.4;21395.0;21395000;"11,31";"12,1386";"-0,8286";"17,39"
Albania;1966;;;;;"1684,72";12987771875;Potatoes;12347.0;107816.0;8732.2;107816.0;107816000;"12,09";"12,1386";"-0,0486";20
Albania;1967;;;;;"1146,8";12987771875;Potatoes;16006.0;115830.0;7236.7;115830.0;115830000;"11,7";"12,1386";"-0,4386";"31,76"
Albania;1968;;;;;"1351,43";12987771875;Potatoes;22032.0;159695.0;7248.3;159695.0;159695000;"11,75";"12,1386";"-0,3886";74
Albania;1969;;;;;"1509,93";12987771875;Potatoes;21701.0;120958.0;5573.8;120958.0;120958000;"11,46";"12,1386";"-0,6786";"70,59"
Albania;1970;;;;;"1626,97";12987771875;Potatoes;19510.0;106707.0;5469.3;106707.0;106707000;"11,62";"12,1386";"-0,5186";"84,64"
Albania;1971;;;;;"1345,9";12987771875;Potatoes;15768.0;99814.0;6330.2;99814.0;99814000;"11,45";"12,1386";"-0,6886";"101,51"
Albania;1972;;;;;"1538,19";12987771875;Potatoes;15300.0;81400.0;5320.3;81400.0;81400000;"11,46";"12,1386";"-0,6786";"102,96"
Albania;1973;;;;;"1375,23";12987771875;Potatoes;13300.0;81000.0;6090.2;81000.0;81000000;"11,38";"12,1386";"-0,7586";"106,02"
Albania;1974;;;;;"1457,32";12987771875;Potatoes;15500.0;104000.0;6709.7;104000.0;104000000;"11,51";"12,1386";"-0,6286";"114,72"
Albania;1975;;;;;"1003,51";12987771875;Potatoes;15500.0;108000.0;6967.7;108000.0;108000000;"11,54";"12,1386";"-0,5986";"111,01"
Albania;1976;;;;;"1427,29";12987771875;Potatoes;15500.0;115000.0;7419.4;115000.0;115000000;"11,01";"12,1386";"-1,1286";"125,22"
Albania;1977;;;;;"1144,44";12987771875;Potatoes;15500.0;117000.0;7548.4;117000.0;117000000;"11,85";"12,1386";"-0,2886";"135,69"
Albania;1978;;;;;"1487,02";12987771875;Potatoes;15500.0;119000.0;7677.4;119000.0;119000000;"11,01";"12,1386";"-1,1286";"171,36"
Albania;1979;;;;;"1628,17";12987771875;Potatoes;15500.0;118800.0;7664.5;118800.0;118800000;"11,83";"12,1386";"-0,3086";"168,27"
Albania;1980;;;;;"1512,04";12987771875;Potatoes;16300.0;98800.0;6061.3;98800.0;98800000;"10,88";"12,1386";"-1,2586";"160,17"
Albania;1981;;;;;"1467,82";12987771875;Potatoes;16600.0;119100.0;7174.7;119100.0;119100000;"11,57";"12,1386";"-0,5686";"138,44"
Albania;1982;;;;;"1012,84";12987771875;Potatoes;15600.0;101200.0;6487.2;101200.0;101200000;"11,78";"12,1386";"-0,3586";"179,97"
Albania;1983;;;;;"1038,94";12987771875;Potatoes;15500.0;136000.0;8774.2;136000.0;136000000;"11,51";"12,1386";"-0,6286";"174,36"
Albania;1984;;;;;"1104,86";12987771875;Potatoes;14300.0;90000.0;6293.7;90000.0;90000000;"11,28";"12,1386";"-0,8586";"159,59"
Albania;1985;;;;;"1289,3";12987771875;Potatoes;15000.0;85000.0;5666.7;85000.0;85000000;"11,58";"12,1386";"-0,5586";"159,76"
Albania;1986;;;;;"1228,42";12987771875;Potatoes;14000.0;110000.0;7857.1;110000.0;110000000;"11,8";"12,1386";"-0,3386";"163,5"
Albania;1987;;;;;"1260,86";12987771875;Potatoes;14000.0;89000.0;6357.1;89000.0;89000000;"11,45";"12,1386";"-0,6886";"161,02"
Albania;1988;;;;;"1079,23";12987771875;Potatoes;12000.0;60000.0;5000.0;60000.0;60000000;"11,88";"12,1386";"-0,2586";"163,56"
Albania;1989;;;;;"1084,9";12987771875;Potatoes;9000.0;97000.0;10777.8;97000.0;97000000;"11,64";"12,1386";"-0,4986";"182,99"
Albania;1990;44.0;5.0;70.0;121.0;"963,9";12987771875;Potatoes;12000.0;80000.0;6666.7;80000.0;80000000;"12,16";"12,1386";"0,0214";"176,17"
Albania;1991;44.0;5.0;70.0;121.0;"1156,29";12987771875;Potatoes;11047.0;85966.0;7781.8;85966.0;85966000;"11,16";"12,1386";"-0,9786";"54,15"
Albania;1992;44.0;5.0;70.0;121.0;"1003,07";12987771875;Potatoes;9470.0;78525.0;8292.0;78525.0;78525000;"11,82";"12,1386";"-0,3186";"40,66"
Albania;1993;44.0;5.0;70.0;121.0;"1091,24";12987771875;Potatoes;10313.0;101527.0;9844.6;101527.0;101527000;"11,79";"12,1386";"-0,3486";"31,01"
Albania;1994;74.0;7.0;117.0;201.0;"933,5";12987771875;Potatoes;10923.0;88918.0;8140.4;88918.0;88918000;"12,8";"12,1386";"0,6614";"25,6"
Albania;1995;94.0;8.0;145.0;251.0;"1414,03";12987771875;Potatoes;12029.0;133910.0;11132.3;133910.0;133910000;"11,65";"12,1386";"-0,4886";"19,06"
Albania;1996;96.0;8.0;152.0;262.0;"1504,49";12987771875;Potatoes;12398.0;131590.0;10613.8;131590.0;131590000;"11,33";"12,1386";"-0,8086";"11,27"
Albania;1997;99.0;8.0;158.0;274.0;"976,48";12987771875;Potatoes;11534.0;126729.0;10987.4;126729.0;126729000;"11,61";"12,1386";"-0,5286";9
Albania;1998;101.0;8.0;165.0;285.0;"1264,4";12987771875;Potatoes;11398.0;144996.0;12721.2;144996.0;144996000;"12,15";"12,1386";"0,0114";"43,33"
Albania;1999;103.0;8.0;172.0;297.0;"1309,07";12987771875;Potatoes;11400.0;161900.0;14201.8;161900.0;161900000;"12,52";"12,1386";"0,3814";"18,37"
Albania;2000;106.0;8.0;179.0;308.0;"990,37";12987771875;Potatoes;11400.0;161000.0;14122.8;161000.0;161000000;"12,83";"12,1386";"0,6914";"32,35"
