Area;Item;Year;Area harvested(ha);Production(tonnes);Yield (kg/ha);Production(tonnes).1;Production(kg)
Albania;Potatoes;1961;4185.0;30188.0;7213.4;30188.0;30188000
Albania;Potatoes;1962;3598.0;19552.0;5434.1;19552.0;19552000
Albania;Potatoes;1963;3091.0;23726.0;7675.8;23726.0;23726000
Albania;Potatoes;1964;3729.0;33706.0;9038.9;33706.0;33706000
Albania;Potatoes;1965;3718.0;21395.0;5754.4;21395.0;21395000
Albania;Potatoes;1966;12347.0;107816.0;8732.2;107816.0;107816000
Albania;Potatoes;1967;16006.0;115830.0;7236.7;115830.0;115830000
Albania;Potatoes;1968;22032.0;159695.0;7248.3;159695.0;159695000
Albania;Potatoes;1969;21701.0;120958.0;5573.8;120958.0;120958000
Albania;Potatoes;1970;19510.0;106707.0;5469.3;106707.0;106707000
Albania;Potatoes;1971;15768.0;99814.0;6330.2;99814.0;99814000
Albania;Potatoes;1972;15300.0;81400.0;5320.3;81400.0;81400000
Albania;Potatoes;1973;13300.0;81000.0;6090.2;81000.0;81000000
Albania;Potatoes;1974;15500.0;104000.0;6709.7;104000.0;104000000
Albania;Potatoes;1975;15500.0;108000.0;6967.7;108000.0;108000000
Albania;Potatoes;1976;15500.0;115000.0;7419.4;115000.0;115000000
Albania;Potatoes;1977;15500.0;117000.0;7548.4;117000.0;117000000
Albania;Potatoes;1978;15500.0;119000.0;7677.4;119000.0;119000000
Albania;Potatoes;1979;15500.0;118800.0;7664.5;118800.0;118800000
Albania;Potatoes;1980;16300.0;98800.0;6061.3;98800.0;98800000
Albania;Potatoes;1981;16600.0;119100.0;7174.7;119100.0;119100000
Albania;Potatoes;1982;15600.0;101200.0;6487.2;101200.0;101200000
Albania;Potatoes;1983;15500.0;136000.0;8774.2;136000.0;136000000
Albania;Potatoes;1984;14300.0;90000.0;6293.7;90000.0;90000000
Albania;Potatoes;1985;15000.0;85000.0;5666.7;85000.0;85000000
Albania;Potatoes;1986;14000.0;110000.0;7857.1;110000.0;110000000
Albania;Potatoes;1987;14000.0;89000.0;6357.1;89000.0;89000000
Albania;Potatoes;1988;12000.0;60000.0;5000.0;60000.0;60000000
Albania;Potatoes;1989;9000.0;97000.0;10777.8;97000.0;97000000
Albania;Potatoes;1990;12000.0;80000.0;6666.7;80000.0;80000000
Albania;Potatoes;1991;11047.0;85966.0;7781.8;85966.0;85966000
Albania;Potatoes;1992;9470.0;78525.0;8292.0;78525.0;78525000
Albania;Potatoes;1993;10313.0;101527.0;9844.6;101527.0;101527000
Albania;Potatoes;1994;10923.0;88918.0;8140.4;88918.0;88918000
Albania;Potatoes;1995;12029.0;133910.0;11132.3;133910.0;133910000
Albania;Potatoes;1996;12398.0;131590.0;10613.8;131590.0;131590000
Albania;Potatoes;1997;11534.0;126729.0;10987.4;126729.0;126729000
Albania;Potatoes;1998;11398.0;144996.0;12721.2;144996.0;144996000
Albania;Potatoes;1999;11400.0;161900.0;14201.8;161900.0;161900000
Albania;Potatoes;2000;11400.0;161000.0;14122.8;161000.0;161000000
Albania;Potatoes;2001;11000.0;163700.0;14881.8;163700.0;163700000
Albania;Potatoes;2002;10600.0;163100.0;15386.8;163100.0;163100000
Albania;Potatoes;2003;10456.0;158200.0;15130.1;158200.0;158200000
Albania;Potatoes;2004;10700.0;159800.0;14934.6;159800.0;159800000
Albania;Potatoes;2005;10134.0;169300.0;16706.1;169300.0;169300000
Albania;Potatoes;2006;9523.0;162600.0;17074.5;162600.0;162600000
Albania;Potatoes;2007;8200.0;154900.0;18890.2;154900.0;154900000
Albania;Potatoes;2008;9800.0;190000.0;19387.8;190000.0;190000000
Albania;Potatoes;2009;9100.0;200000.0;21978.0;200000.0;200000000
Albania;Potatoes;2010;9000.0;208000.0;23111.1;208000.0;208000000
Albania;Potatoes;2011;9500.0;230100.0;24221.1;230100.0;230100000
Albania;Potatoes;2012;9300.0;233000.0;25053.8;233000.0;233000000
Albania;Potatoes;2013;9100.0;236700.0;26011.0;236700.0;236700000
Albania;Potatoes;2014;9600.0;240000.0;25000.0;240000.0;240000000
Albania;Potatoes;2015;10100.0;245000.0;24257.4;245000.0;245000000
Albania;Potatoes;2016;9693.0;238345.0;24589.4;238345.0;238345000
Albania;Potatoes;2017;9948.0;249804.0;25111.0;249804.0;249804000
Albania;Potatoes;2018;9726.0;254543.0;26171.4;254543.0;254543000
Albania;Potatoes;2019;10164.0;260661.0;25645.5;260661.0;260661000
Albania;Potatoes;2020;9701.0;254886.0;26274.2;254886.0;254886000
Albania;Potatoes;2021;10378.0;258862.0;24943.3;258862.0;258862000
Albania;Potatoes;2022;9910.0;262673.0;26505.9;262673.0;262673000
Albania;Potatoes;2023;10068.0;274188.2;27233.1;274188.2;274188200
Austria;Potatoes;1961;171624.0;3394825.0;19780.6;3394825.0;3394825000
Austria;Potatoes;1962;168744.0;3213739.0;19045.1;3213739.0;3213739000
Austria;Potatoes;1963;160653.0;3498695.0;21778.0;3498695.0;3498695000
Austria;Potatoes;1964;157537.0;3438204.0;21824.7;3438204.0;3438204000
Austria;Potatoes;1965;144555.0;2539433.0;17567.2;2539433.0;2539433000
Austria;Potatoes;1966;136599.0;3007318.0;22015.7;3007318.0;3007318000
Austria;Potatoes;1967;133833.0;3048976.0;22781.9;3048976.0;3048976000
Austria;Potatoes;1968;130243.0;3473076.0;26666.1;3473076.0;3473076000
Austria;Potatoes;1969;112572.0;2940545.0;26121.5;2940545.0;2940545000
Austria;Potatoes;1970;109924.0;2703894.0;24597.8;2703894.0;2703894000
Austria;Potatoes;1971;105303.0;2716519.0;25797.2;2716519.0;2716519000
Austria;Potatoes;1972;100943.0;2341420.0;23195.5;2341420.0;2341420000
Austria;Potatoes;1973;84193.0;2116526.0;25139.0;2116526.0;2116526000
Austria;Potatoes;1974;82304.0;1996305.0;24255.3;1996305.0;1996305000
Austria;Potatoes;1975;69101.0;1578687.0;22846.1;1578687.0;1578687000
Austria;Potatoes;1976;73312.0;1746023.0;23816.3;1746023.0;1746023000
Austria;Potatoes;1977;60198.0;1352246.0;22463.3;1352246.0;1352246000
Austria;Potatoes;1978;56902.0;1400892.0;24619.4;1400892.0;1400892000
Austria;Potatoes;1979;58048.0;1493706.0;25732.3;1493706.0;1493706000
Austria;Potatoes;1980;52569.0;1263922.0;24043.1;1263922.0;1263922000
Austria;Potatoes;1981;49639.0;1309779.0;26386.1;1309779.0;1309779000
Austria;Potatoes;1982;45654.0;1120676.0;24547.2;1120676.0;1120676000
Austria;Potatoes;1983;40594.0;1011511.0;24917.7;1011511.0;1011511000
Austria;Potatoes;1984;41322.0;1138097.0;27542.2;1138097.0;1138097000
Austria;Potatoes;1985;37719.0;1042196.0;27630.5;1042196.0;1042196000
Austria;Potatoes;1986;34854.0;982405.0;28186.3;982405.0;982405000
Austria;Potatoes;1987;34128.0;879497.0;25770.5;879497.0;879497000
Austria;Potatoes;1988;33115.0;1001044.0;30229.3;1001044.0;1001044000
Austria;Potatoes;1989;32395.0;845466.0;26098.7;845466.0;845466000
Austria;Potatoes;1990;31760.0;793537.0;24985.4;793537.0;793537000
Austria;Potatoes;1991;33421.0;789979.0;23637.2;789979.0;789979000
Austria;Potatoes;1992;33036.0;738256.0;22347.0;738256.0;738256000
Austria;Potatoes;1993;31090.0;885833.0;28492.5;885833.0;885833000
Austria;Potatoes;1994;29738.0;593720.0;19965.0;593720.0;593720000
Austria;Potatoes;1995;27036.0;724426.0;26794.9;724426.0;724426000
Austria;Potatoes;1996;26335.0;768974.0;29199.7;768974.0;768974000
Austria;Potatoes;1997;23476.0;676872.0;28832.5;676872.0;676872000
Austria;Potatoes;1998;22854.0;646915.0;28306.4;646915.0;646915000
Austria;Potatoes;1999;23180.0;711729.0;30704.4;711729.0;711729000
Austria;Potatoes;2000;23737.0;694609.0;29262.7;694609.0;694609000
Austria;Potatoes;2001;23123.0;694602.0;30039.4;694602.0;694602000
Austria;Potatoes;2002;22523.0;684321.0;30383.2;684321.0;684321000
Austria;Potatoes;2003;21122.0;560340.0;26528.7;560340.0;560340000
Austria;Potatoes;2004;21924.0;693054.0;31611.7;693054.0;693054000
Austria;Potatoes;2005;22186.0;763165.0;34398.5;763165.0;763165000
Austria;Potatoes;2006;21920.0;654621.0;29864.1;654621.0;654621000
Austria;Potatoes;2007;22675.0;668755.0;29493.1;668755.0;668755000
Austria;Potatoes;2008;22800.0;756945.0;33199.3;756945.0;756945000
Austria;Potatoes;2009;22222.0;722098.0;32494.7;722098.0;722098000
Austria;Potatoes;2010;21973.0;671722.0;30570.3;671722.0;671722000
Austria;Potatoes;2011;22851.0;816070.0;35712.7;816070.0;816070000
Austria;Potatoes;2012;21782.0;665416.0;30549.1;665416.0;665416000
Austria;Potatoes;2013;21128.0;604050.78;28589.7;604050.78;604050780
Austria;Potatoes;2014;21384.0;750637.43;35102.0;750637.43;750637430
Austria;Potatoes;2015;20368.0;536472.82;26339.0;536472.82;536472820
Austria;Potatoes;2016;21221.0;767261.12;36155.7;767261.12;767261120
Austria;Potatoes;2017;22991.0;653400.0;28419.8;653400.0;653400000
Austria;Potatoes;2018;23760.0;697930.0;29374.2;697930.0;697930000
Austria;Potatoes;2019;23970.0;751260.0;31341.7;751260.0;751260000
Austria;Potatoes;2020;24260.0;885890.0;36516.5;885890.0;885890000
Austria;Potatoes;2021;22560.0;769690.0;34117.5;769690.0;769690000
Austria;Potatoes;2022;21440.0;686220.0;32006.5;686220.0;686220000
Austria;Potatoes;2023;20620.0;594040.0;28808.9;594040.0;594040000
Belarus;Potatoes;1992;779000.0;8983900.0;11532.6;8983900.0;8983900000
Belarus;Potatoes;1993;749000.0;11644200.0;15546.3;11644200.0;11644200000
Belarus;Potatoes;1994;697000.0;8241000.0;11823.5;8241000.0;8241000000
Belarus;Potatoes;1995;725000.0;9504200.0;13109.2;9504200.0;9504200000
Belarus;Potatoes;1996;719000.0;10880500.0;15132.8;10880500.0;10880500000
