Area;Year;Precipitation (mm) ;AVERAGE PRECIPITATION
Albania;1961;"975,68";12987771875
Albania;1962;"1577,16";12987771875
Albania;1963;"1733,86";12987771875
Albania;1964;"1408,25";12987771875
Albania;1965;1247;12987771875
Albania;1966;"1684,72";12987771875
Albania;1967;"1146,8";12987771875
Albania;1968;"1351,43";12987771875
Albania;1969;"1509,93";12987771875
Albania;1970;"1626,97";12987771875
Albania;1971;"1345,9";12987771875
Albania;1972;"1538,19";12987771875
Albania;1973;"1375,23";12987771875
Albania;1974;"1457,32";12987771875
Albania;1975;"1003,51";12987771875
Albania;1976;"1427,29";12987771875
Albania;1977;"1144,44";12987771875
Albania;1978;"1487,02";12987771875
Albania;1979;"1628,17";12987771875
Albania;1980;"1512,04";12987771875
Albania;1981;"1467,82";12987771875
Albania;1982;"1012,84";12987771875
Albania;1983;"1038,94";12987771875
Albania;1984;"1104,86";12987771875
Albania;1985;"1289,3";12987771875
Albania;1986;"1228,42";12987771875
Albania;1987;"1260,86";12987771875
Albania;1988;"1079,23";12987771875
Albania;1989;"1084,9";12987771875
Albania;1990;"963,9";12987771875
Albania;1991;"1156,29";12987771875
Albania;1992;"1003,07";12987771875
Albania;1993;"1091,24";12987771875
Albania;1994;"933,5";12987771875
Albania;1995;"1414,03";12987771875
Albania;1996;"1504,49";12987771875
Albania;1997;"976,48";12987771875
Albania;1998;"1264,4";12987771875
Albania;1999;"1309,07";12987771875
Albania;2000;"990,37";12987771875
Albania;2001;"1177,74";12987771875
Albania;2002;"1261,45";12987771875
Albania;2003;"1185,77";12987771875
Albania;2004;"1511,65";12987771875
Albania;2005;"1496,67";12987771875
Albania;2006;"1101,81";12987771875
Albania;2007;"1087,14";12987771875
Albania;2008;"1113,24";12987771875
Albania;2009;"1523,05";12987771875
Albania;2010;"1920,28";12987771875
Albania;2011;"864,09";12987771875
Albania;2012;"1377,37";12987771875
Albania;2013;"1401,91";12987771875
Albania;2014;"1399,04";12987771875
Albania;2015;"1163,76";12987771875
Albania;2016;"1553,45";12987771875
Albania;2017;"1169,29";12987771875
Albania;2018;"1541,76";12987771875
Albania;2019;"1268,55";12987771875
Albania;2020;"1154,18";12987771875
Albania;2021;"1568,25";12987771875
Albania;2022;"1237,01";12987771875
Albania;2023;"1455,63";12987771875
Austria;1961;"1115,71";12252228125
Austria;1962;"1155,06";12252228125
Austria;1963;"1111,39";12252228125
Austria;1964;"1253,71";12252228125
Austria;1965;"1412,51";12252228125
Austria;1966;"1454,49";12252228125
Austria;1967;"1201,45";12252228125
Austria;1968;"1145,39";12252228125
Austria;1969;"1127,89";12252228125
Austria;1970;"1338,17";12252228125
Austria;1971;"1000,01";12252228125
Austria;1972;"1233,92";12252228125
Austria;1973;"1189,07";12252228125
Austria;1974;"1276,99";12252228125
Austria;1975;"1201,76";12252228125
Austria;1976;"1127,45";12252228125
Austria;1977;"1110,07";12252228125
Austria;1978;"1102,6";12252228125
Austria;1979;"1335,95";12252228125
Austria;1980;"1280,01";12252228125
Austria;1981;"1275,5";12252228125
Austria;1982;"1158,23";12252228125
Austria;1983;"1101,89";12252228125
Austria;1984;"1089,86";12252228125
Austria;1985;"1220,55";12252228125
Austria;1986;"1121,9";12252228125
Austria;1987;"1304,77";12252228125
Austria;1988;"1242,9";12252228125
Austria;1989;"1144,42";12252228125
Austria;1990;"1157,9";12252228125
Austria;1991;"1199,13";12252228125
Austria;1992;"1133,58";12252228125
Austria;1993;"1152,69";12252228125
Austria;1994;"1122,31";12252228125
Austria;1995;"1291,72";12252228125
Austria;1996;"1311,22";12252228125
Austria;1997;"1231,96";12252228125
Austria;1998;"1267,48";12252228125
Austria;1999;"1340,19";12252228125
Austria;2000;"1272,27";12252228125
Austria;2001;"1232,32";12252228125
Austria;2002;"1342,63";12252228125
Austria;2003;"964,57";12252228125
Austria;2004;"1229,05";12252228125
Austria;2005;"1281,78";12252228125
Austria;2006;"1150,5";12252228125
Austria;2007;"1280,09";12252228125
Austria;2008;"1247,38";12252228125
Austria;2009;"1363,9";12252228125
Austria;2010;"1307,51";12252228125
Austria;2011;"1027,27";12252228125
Austria;2012;"1290,5";12252228125
Austria;2013;"1325,07";12252228125
Austria;2014;"1376,07";12252228125
Austria;2015;"1077,08";12252228125
Austria;2016;"1339,69";12252228125
Austria;2017;"1245,25";12252228125
Austria;2018;"1193,46";12252228125
Austria;2019;"1281,65";12252228125
Austria;2020;"1298,87";12252228125
Austria;2021;"1247,98";12252228125
Austria;2022;"1196,15";12252228125
Austria;2023;"1444,83";12252228125
