,Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm)
,mean,median,std,max,min
Area,,,,,
Albania,1299.8096825396824,1268.55,229.0912325941578,1920.28,864.09
Austria,1223.137619047619,1232.32,103.9180635313735,1454.49,964.57
Belarus,732.144375,721.775,79.15852734361395,928.36,590.99
Belgium,914.67625,912.515,105.31410512129894,1101.73,723.7
Bulgaria,774.4836507936508,763.88,108.52645875250869,1114.13,477.27
Croatia,1107.5803125,1100.625,164.38640469420304,1492.96,712.56
Denmark,793.0409523809524,795.26,94.79884541821556,993.69,563.65
Estonia,758.765625,758.73,22.460781294758412,809.65,698.25
Finland,703.2569841269842,701.34,76.0693084147167,893.13,561.06
France,962.4111111111112,977.55,101.96037095616963,1176.13,742.06
Germany,879.6460317460317,883.1,103.80831953637781,1080.57,638.19
Greece,803.2273015873016,797.74,120.77859654978857,1042.96,519.78
Hungary,690.240634920635,680.62,113.64521016364377,1041.62,469.98
Ireland,1075.1615873015871,1060.13,121.58832040426472,1331.09,788.3
Italy,1020.4115873015874,1001.85,132.00348405966966,1366.67,820.65
Latvia,754.4234375,762.27,85.62925124306285,918.35,558.66
Lithuania,750.9353125,752.175,83.82704186768306,914.53,584.71
Montenegro,1652.2444444444445,1642.655,280.1856445334314,2274.21,1022.37
Netherlands,853.9619047619047,852.01,111.41077458256703,1131.3,579.41
Norway,1287.715873015873,1296.07,137.8015410353801,1580.61,1029.12
Poland,753.7912698412698,743.74,83.06756314439826,946.26,582.19
Portugal,806.9874603174603,788.99,160.562084123127,1218.34,514.85
Romania,822.0320634920635,808.87,102.28877050526992,1050.56,586.97
Slovenia,1297.999375,1298.63,169.3954139787029,1723.11,891.22
Spain,673.5652380952381,653.78,101.53766057807415,994.22,474.8
Sweden,773.1666666666666,779.92,70.67851592176527,943.99,596.17
Switzerland,1610.2146031746033,1642.7,172.71420082662198,2023.76,1213.23
Turkey,719.5747619047619,719.03,81.80319922084334,912.4,543.58
Ukraine,643.6340625,649.87,65.23786624837702,803.36,516.26
United Kingdom,1017.9169841269841,1022.85,102.0775444901811,1222.37,812.61
