Area;Indicator Name;Year;Fertilizer (kg/ha)
Albania;Fertilizer consumption (kilograms per hectare of arable land);1961;"14,59"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1962;"11,93"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1963;"12,05"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1964;"14,45"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1965;"17,39"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1966;20
Albania;Fertilizer consumption (kilograms per hectare of arable land);1967;"31,76"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1968;74
Albania;Fertilizer consumption (kilograms per hectare of arable land);1969;"70,59"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1970;"84,64"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1971;"101,51"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1972;"102,96"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1973;"106,02"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1974;"114,72"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1975;"111,01"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1976;"125,22"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1977;"135,69"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1978;"171,36"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1979;"168,27"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1980;"160,17"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1981;"138,44"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1982;"179,97"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1983;"174,36"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1984;"159,59"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1985;"159,76"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1986;"163,5"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1987;"161,02"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1988;"163,56"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1989;"182,99"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1990;"176,17"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1991;"54,15"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1992;"40,66"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1993;"31,01"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1994;"25,6"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1995;"19,06"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1996;"11,27"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1997;9
Albania;Fertilizer consumption (kilograms per hectare of arable land);1998;"43,33"
Albania;Fertilizer consumption (kilograms per hectare of arable land);1999;"18,37"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2000;"32,35"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2001;"32,35"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2002;"97,58"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2003;"99,32"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2004;"101,31"
Albania;Fertilizer consumption (kilograms per hectare of arable land);2005;"112,38"
