Area,Fertilizer (kg/ha)_mean,Fertilizer (kg/ha)_median,Fertilizer (kg/ha)_std,Fertilizer (kg/ha)_max,Fertilizer (kg/ha)_min,Fertilizer (kg/ha)_count
Albania,89.07,90.38,52.27,182.99,9.0,63
Austria,185.99,175.69,54.41,277.22,86.58,63
Belarus,179.29,161.94,57.68,303.89,83.92,32
Belgium,290.12,304.76,45.06,339.42,191.66,22
Bulgaria,130.99,128.29,65.25,273.01,31.02,63
Croatia,231.0,205.52,84.63,495.23,119.04,32
Denmark,186.27,184.78,51.59,277.48,102.92,63
Estonia,68.95,75.26,23.08,103.49,25.08,32
Finland,147.69,142.39,51.02,242.0,69.53,63
France,235.21,230.04,70.16,344.63,120.56,63
Germany,288.52,256.57,97.98,440.35,116.87,63
Greece,154.26,152.66,47.12,245.64,56.81,63
Hungary,151.06,112.71,86.84,316.01,39.86,63
Ireland,1136.18,1123.8,381.55,1886.03,310.99,63
Italy,164.53,164.09,53.3,251.13,67.8,63
Latvia,74.83,67.88,26.66,113.43,21.96,32
Lithuania,95.67,104.38,35.51,141.11,30.5,32
Montenegro,171.31,240.27,132.39,324.87,11.33,18
Netherlands,535.68,580.55,209.03,851.61,231.13,63
Norway,231.88,218.87,40.36,322.83,170.0,63
Poland,162.81,161.94,56.85,248.38,55.99,63
Portugal,119.55,115.22,38.84,203.4,51.58,63
Romania,75.5,59.1,44.69,171.62,10.26,63
Slovenia,315.88,276.24,75.88,459.61,215.85,32
Spain,117.35,121.32,36.71,175.27,44.93,63
Sweden,121.95,112.91,31.89,188.44,64.16,63
Switzerland,315.66,319.79,105.01,488.94,132.6,63
Ukraine,37.18,33.42,20.79,80.69,12.76,32
United Kingdom,284.91,266.64,58.19,389.64,191.44,63
