Area,Fertilizer (kg/ha)_mean,Fertilizer (kg/ha)_median,Fertilizer (kg/ha)_std,Fertilizer (kg/ha)_max,Fertilizer (kg/ha)_min,Fertilizer (kg/ha)_count
Ireland,1136.18,1123.8,381.55,1886.03,310.99,63
Netherlands,535.68,580.55,209.03,851.61,231.13,63
Slovenia,315.88,276.24,75.88,459.61,215.85,32
Switzerland,315.66,319.79,105.01,488.94,132.6,63
Belgium,290.12,304.76,45.06,339.42,191.66,22
Germany,288.52,256.57,97.98,440.35,116.87,63
United Kingdom,284.91,266.64,58.19,389.64,191.44,63
France,235.21,230.04,70.16,344.63,120.56,63
Norway,231.88,218.87,40.36,322.83,170.0,63
Croatia,231.0,205.52,84.63,495.23,119.04,32
