Year;Actual;Predicted;Type
1961;7213;10314.327652007913;Train
1961;16034;13503.745645135565;Train
1961;24300;24311.830809225634;Train
1961;20601;16652.540942681142;Train
1961;13739;17433.959745515458;Train
1961;10747;10830.179659040215;Train
1961;18059;23933.500842012454;Train
1961;22479;22379.826887859992;Train
1961;16099;12926.924369339658;Train
1961;22930;22294.99910574555;Train
1961;9558;11198.29422085656;Train
1961;17630;19789.623803812716;Train
1961;9754;10554.27079988732;Train
1961;19781;19019.641459618375;Train
1961;24873;24755.98875972576;Train
1961;11813;10859.534883447763;Train
1961;10383;10820.103416661756;Train
1961;6807;10835.239875698368;Train
1961;7121;10859.534883447763;Train
1961;28040;26637.991670339125;Train
1961;9560;10818.781268729817;Train
1962;9453;10381.05454222755;Train
1962;5434;7935.428970986331;Train
1962;12995;13708.865737088017;Train
1962;22737;22951.910857092324;Train
1962;15529;13452.436082198976;Train
1962;18246;21775.875158115534;Train
1962;23000;24485.133442421575;Train
1962;8780;10566.58136200044;Train
1962;19045;19838.054739965526;Train
1962;22508;23955.45952900698;Train
1962;7171;10355.412680474476;Train
1962;10160;10867.674297234222;Train
1962;8522;10761.265883140106;Train
1962;10877;11209.528193020737;Train
1962;8344;10839.725764521465;Train
1962;9013;10845.60740641715;Train
1962;12903;16899.933582134283;Train
1962;18711;19503.006805655245;Train
1962;30497;27772.77352696387;Train
1962;25007;25242.543735173505;Train
1962;18780;17264.24499416426;Train
1963;23581;22824.788941811617;Train
1963;8113;10774.4860332387;Train
1963;15799;13985.544676333977;Train
1963;28784;29247.838850639186;Train
1963;10723;10093.954141986398;Train
1963;7676;8022.289845797632;Train
1963;9624;10824.892739450788;Train
1963;8737;10868.70354512491;Train
1963;11359;10219.578456412233;Train
1963;12356;10870.790732453774;Train
1963;8112;10375.595229022205;Train
1963;21545;23099.133078733663;Train
1963;23751;24625.729232478752;Train
1963;21778;23439.38749131499;Train
1963;20827;19696.228308666017;Train
1963;11429;11192.442403018073;Train
1963;23242;18871.879903073073;Train
1963;23144;22319.293930385167;Train
1963;18927;16552.481878310897;Train
1963;26500;25649.27950469147;Train
1963;15943;16521.050098223874;Train
1964;20684;24520.41817732013;Train
1964;22307;19759.09306432106;Train
1964;8229;10704.04469369397;Train
1964;21825;23852.18818853051;Train
1964;10744;10411.622578334955;Train
1964;11649;10905.472551834042;Train
1964;16737;14313.338982309959;Train
1964;12186;10866.041025461283;Train
1964;11724;11222.685327765474;Train
1964;9039;8242.427017123677;Train
1964;26800;26458.089944714502;Train
1964;22534;22693.48195118897;Train
1964;11958;17159.447724677404;Train
1964;16406;22661.463308250823;Train
1964;20981;23890.676565714948;Train
1964;21376;18919.46227044892;Train
1964;32990;29217.660282109562;Train
1964;10469;10634.568856007849;Train
1964;9337;10885.53621252915;Train
1964;7861;10888.609768334918;Train
1964;16914;14104.573618214963;Train
1965;5754;9014.88848981154;Train
1965;11586;11228.56112035936;Train
1965;7783;10965.50468038162;Train
1965;8778;10319.991523155697;Train
1965;23066;20952.55795893478;Train
1965;9277;10941.492229511598;Train
1965;7039;12545.42822672387;Train
1965;7188;10835.577413224446;Train
1965;17567;23841.801790957437;Train
1965;23100;27861.523643077915;Train
1965;25335;24052.473369210635;Train
1965;23475;23146.521766328264;Train
1965;25890;28895.83662035348;Train
1965;20519;26115.7095524559;Train
1965;24847;20095.023309075685;Train
1965;10191;10445.315940378201;Train
1965;23358;25511.56853546082;Train
1965;19515;14081.956122578998;Train
1965;17296;18053.041158322583;Train
1965;11071;10900.261797089588;Train
1965;15429;13964.889139904744;Train
1966;15752;17592.96476408895;Train
1966;12346;11188.92100128042;Train
1966;31560;29017.64104335113;Train
1966;11808;11087.869195444611;Train
1966;24761;26754.87136271836;Train
1966;9683;10425.738234188113;Train
1966;22206;26155.659608301867;Train
1966;11667;11412.94866493871;Train
1966;11114;10382.079591093066;Train
1966;24933;22621.121568920764;Train
1966;8732;7998.457397828917;Train
1966;9135;10270.936401589548;Train
1966;24371;24210.380468146577;Train
1966;12266;11104.221104883442;Train
1966;22016;17192.865638595016;Train
1966;24430;23258.8324566834;Train
