Year;Actual_Yield;Predicted_Yield;Data_Type
1961;7213;9290.499003739596;Train
1962;5434;6554.493685238405;Train
1963;7676;7767.393765635709;Train
1964;9039;7890.296974170736;Train
1965;5754;7258.67546587746;Train
1966;8732;8050.701246418368;Train
1967;7237;9670.195935442298;Train
1968;7248;7432.143636727244;Train
1969;5574;6301.613377995628;Train
1970;5469;6517.106849422457;Train
1971;6330;7139.984684972021;Train
1972;5320;6217.809721852525;Train
1973;6090;7131.845676619642;Train
1974;6710;7633.361075498952;Train
1975;6968;11093.374173570643;Train
1976;7419;8214.513438849357;Train
1977;7548;10686.563121301398;Train
1978;7677;8242.715631922818;Train
1979;7665;8389.73713396778;Train
1980;6061;7029.713669567235;Train
1981;7175;7836.319022767858;Train
1982;6487;9594.715191069872;Train
1983;8774;9390.282936167101;Train
1984;6294;8616.257606834643;Train
1985;5667;7321.662597162683;Train
1986;7857;8628.95754182704;Train
1987;6357;7531.501536643583;Train
1988;5000;8519.210276414642;Train
1989;10778;10959.016957379523;Train
1990;6667;9130.09846389353;Train
1991;7782;9453.497389856631;Train
1992;8292;9702.043189881471;Train
1993;9845;9819.213680136727;Train
1994;8140;10657.224314636793;Train
1995;11132;10516.359176759632;Train
1996;10614;10219.827106018234;Train
1997;10987;10908.636064782446;Train
1998;12721;12098.82620967914;Train
1999;14202;13761.353001368283;Train
2000;14123;14183.890879476357;Train
2001;14882;14235.12041746245;Train
2002;15387;15162.71915590868;Train
2003;15130;14778.942655263867;Train
2004;14935;15169.883781615115;Train
2005;16706;15724.756178232381;Train
2006;17075;16309.851970967684;Train
2007;18890;18439.467904424964;Train
2008;19388;18849.745772200837;Train
2009;21978;21065.009057692307;Train
2010;23111;22137.773499999996;Train
2011;24221;21846.224090820277;Train
1961;19781;19560.032243703994;Train
1962;19045;19969.862649064115;Train
1963;21778;23145.51765430501;Train
1964;21825;23572.188454843155;Train
1965;17567;21609.576122195456;Train
1966;22016;19105.28726440588;Train
1967;22782;24475.127433661142;Train
1968;26666;24603.931206998936;Train
1969;26122;24879.068952169946;Train
1970;24598;24727.471504050387;Train
1971;25797;24979.053211297385;Train
1972;23196;24666.62056668938;Train
1973;25139;24644.60488552534;Train
1974;24255;24389.590742975455;Train
1975;22846;23561.557990829493;Train
1976;23816;24379.525588798006;Train
1977;22463;24532.930947179546;Train
1978;24619;25153.472389074755;Train
1979;25732;25195.632521670163;Train
1980;24043;25097.8245864551;Train
1981;26386;25288.740320297275;Train
