Area;Year;Average Mean Surface Air Temperature (Annual Mean );Average Temperature by Country;Temperature Deviation
Albania;1961;"12,21";"12,1386";"0,0714"
Albania;1962;"11,88";"12,1386";"-0,2586"
Albania;1963;"11,9";"12,1386";"-0,2386"
Albania;1964;"11,39";"12,1386";"-0,7486"
Albania;1965;"11,31";"12,1386";"-0,8286"
Albania;1966;"12,09";"12,1386";"-0,0486"
Albania;1967;"11,7";"12,1386";"-0,4386"
Albania;1968;"11,75";"12,1386";"-0,3886"
Albania;1969;"11,46";"12,1386";"-0,6786"
Albania;1970;"11,62";"12,1386";"-0,5186"
Albania;1971;"11,45";"12,1386";"-0,6886"
Albania;1972;"11,46";"12,1386";"-0,6786"
Albania;1973;"11,38";"12,1386";"-0,7586"
Albania;1974;"11,51";"12,1386";"-0,6286"
Albania;1975;"11,54";"12,1386";"-0,5986"
Albania;1976;"11,01";"12,1386";"-1,1286"
Albania;1977;"11,85";"12,1386";"-0,2886"
Albania;1978;"11,01";"12,1386";"-1,1286"
Albania;1979;"11,83";"12,1386";"-0,3086"
Albania;1980;"10,88";"12,1386";"-1,2586"
Albania;1981;"11,57";"12,1386";"-0,5686"
Albania;1982;"11,78";"12,1386";"-0,3586"
Albania;1983;"11,51";"12,1386";"-0,6286"
Albania;1984;"11,28";"12,1386";"-0,8586"
Albania;1985;"11,58";"12,1386";"-0,5586"
Albania;1986;"11,8";"12,1386";"-0,3386"
Albania;1987;"11,45";"12,1386";"-0,6886"
Albania;1988;"11,88";"12,1386";"-0,2586"
Albania;1989;"11,64";"12,1386";"-0,4986"
Albania;1990;"12,16";"12,1386";"0,0214"
Albania;1991;"11,16";"12,1386";"-0,9786"
Albania;1992;"11,82";"12,1386";"-0,3186"
Albania;1993;"11,79";"12,1386";"-0,3486"
Albania;1994;"12,8";"12,1386";"0,6614"
Albania;1995;"11,65";"12,1386";"-0,4886"
Albania;1996;"11,33";"12,1386";"-0,8086"
Albania;1997;"11,61";"12,1386";"-0,5286"
Albania;1998;"12,15";"12,1386";"0,0114"
Albania;1999;"12,52";"12,1386";"0,3814"
Albania;2000;"12,83";"12,1386";"0,6914"
Albania;2001;"12,44";"12,1386";"0,3014"
Albania;2002;"12,66";"12,1386";"0,5214"
Albania;2003;"12,4";"12,1386";"0,2614"
Albania;2004;"12,09";"12,1386";"-0,0486"
Albania;2005;"11,68";"12,1386";"-0,4586"
Albania;2006;"12,11";"12,1386";"-0,0286"
Albania;2007;"12,91";"12,1386";"0,7714"
Albania;2008;"12,91";"12,1386";"0,7714"
Albania;2009;"12,77";"12,1386";"0,6314"
Albania;2010;"12,6";"12,1386";"0,4614"
Albania;2011;"12,41";"12,1386";"0,2714"
Albania;2012;"12,96";"12,1386";"0,8214"
Albania;2013;"12,97";"12,1386";"0,8314"
Albania;2014;"13,12";"12,1386";"0,9814"
Albania;2015;13;"12,1386";"0,8614"
Albania;2016;"12,9";"12,1386";"0,7614"
Albania;2017;"12,82";"12,1386";"0,6814"
Albania;2018;"13,49";"12,1386";"1,3514"
Albania;2019;"13,47";"12,1386";"1,3314"
Albania;2020;"13,17";"12,1386";"1,0314"
Albania;2021;"12,86";"12,1386";"0,7214"
Albania;2022;"13,44";"12,1386";"1,3014"
Albania;2023;"13,86";"12,1386";"1,7214"
Austria;1961;7;"6,9722";"0,0278"
Austria;1962;"5,31";"6,9722";"-1,6622"
Austria;1963;"5,53";"6,9722";"-1,4422"
Austria;1964;"6,05";"6,9722";"-0,9222"
Austria;1965;"5,5";"6,9722";"-1,4722"
Austria;1966;"6,64";"6,9722";"-0,3322"
Austria;1967;"6,72";"6,9722";"-0,2522"
Austria;1968;"6,22";"6,9722";"-0,7522"
Austria;1969;"5,88";"6,9722";"-1,0922"
Austria;1970;"5,81";"6,9722";"-1,1622"
Austria;1971;"6,31";"6,9722";"-0,6622"
Austria;1972;"6,03";"6,9722";"-0,9422"
Austria;1973;"6,07";"6,9722";"-0,9022"
Austria;1974;"6,74";"6,9722";"-0,2322"
Austria;1975;"6,73";"6,9722";"-0,2422"
Austria;1976;"6,21";"6,9722";"-0,7622"
Austria;1977;"6,75";"6,9722";"-0,2222"
Austria;1978;"5,68";"6,9722";"-1,2922"
Austria;1979;"6,21";"6,9722";"-0,7622"
Austria;1980;"5,44";"6,9722";"-1,5322"
Austria;1981;"6,37";"6,9722";"-0,6022"
Austria;1982;"6,8";"6,9722";"-0,1722"
Austria;1983;"7,11";"6,9722";"0,1378"
Austria;1984;"5,94";"6,9722";"-1,0322"
Austria;1985;"5,76";"6,9722";"-1,2122"
Austria;1986;"6,24";"6,9722";"-0,7322"
Austria;1987;"5,95";"6,9722";"-1,0222"
Austria;1988;"6,98";"6,9722";"0,0078"
Austria;1989;"7,28";"6,9722";"0,3078"
Austria;1990;"7,29";"6,9722";"0,3178"
Austria;1991;"6,36";"6,9722";"-0,6122"
Austria;1992;"7,51";"6,9722";"0,5378"
Austria;1993;"6,84";"6,9722";"-0,1322"
Austria;1994;"8,09";"6,9722";"1,1178"
Austria;1995;"6,88";"6,9722";"-0,0922"
Austria;1996;"5,74";"6,9722";"-1,2322"
Austria;1997;"6,92";"6,9722";"-0,0522"
Austria;1998;"7,13";"6,9722";"0,1578"
Austria;1999;"7,2";"6,9722";"0,2278"
Austria;2000;"8,02";"6,9722";"1,0478"
Austria;2001;"7,03";"6,9722";"0,0578"
Austria;2002;"7,72";"6,9722";"0,7478"
Austria;2003;"7,38";"6,9722";"0,4078"
Austria;2004;"6,81";"6,9722";"-0,1622"
Austria;2005;"6,57";"6,9722";"-0,4022"
Austria;2006;"7,29";"6,9722";"0,3178"
Austria;2007;"7,89";"6,9722";"0,9178"
Austria;2008;"7,7";"6,9722";"0,7278"
Austria;2009;"7,53";"6,9722";"0,5578"
Austria;2010;"6,44";"6,9722";"-0,5322"
Austria;2011;"7,93";"6,9722";"0,9578"
Austria;2012;"7,66";"6,9722";"0,6878"
Austria;2013;"7,26";"6,9722";"0,2878"
Austria;2014;"8,41";"6,9722";"1,4378"
Austria;2015;"8,37";"6,9722";"1,3978"
Austria;2016;"7,74";"6,9722";"0,7678"
Austria;2017;"7,77";"6,9722";"0,7978"
Austria;2018;"8,64";"6,9722";"1,6678"
Austria;2019;"8,45";"6,9722";"1,4778"
Austria;2020;"8,35";"6,9722";"1,3778"
Austria;2021;"7,29";"6,9722";"0,3178"
Austria;2022;"8,65";"6,9722";"1,6778"
Austria;2023;"8,84";"6,9722";"1,8678"
Belarus;1992;"7,36";"7,5761";"-0,2161"
