Area;Year;Fungicides and Bactericides;Herbicides;Insecticides;Pesticides (total)
Albania;1990;44;5;70;121
Albania;1991;44;5;70;121
Albania;1992;44;5;70;121
Albania;1993;44;5;70;121
Albania;1994;74;7;117;201
Albania;1995;94;8;145;251
Albania;1996;96;8;152;262
Albania;1997;99;8;158;274
Albania;1998;101;8;165;285
Albania;1999;103;8;172;297
Albania;2000;106;8;179;308
Albania;2001;108;8;185;319
Albania;2002;110;8;192;331
Albania;2003;113;8;199;342
Albania;2004;115;8;205;354
Albania;2005;118;8;212;365
Albania;2006;120;8;219;376
Albania;2007;122;8;226;388
Albania;2008;125;8;232;399
Albania;2009;127;8;239;411
Albania;2010;189;7;378;590
Albania;2011;209;20;321;583
Albania;2012;178;10;163;362
Albania;2013;183;22;216;451
Albania;2014;278;28;93;457
Albania;2015;237;68;155;538
Albania;2016;232;34;190;584
Albania;2017;242;56;202;615
Albania;2018;199;66;129;442
Albania;2019;352;117;151;746
Albania;2020;228;44;45;402
Albania;2021;249;40;45;433
Albania;2022;110;32;37;296
Albania;2023;110;32;37;296
Austria;1990;1683;1945;285;4246
Austria;1991;1843;2167;157;4487
Austria;1992;1483;1859;143;3897
Austria;1993;1580;1873;141;3984
Austria;1994;1560;1549;137;3619
Austria;1995;1409;1607;123;3402
Austria;1996;1697;1536;98;3565
Austria;1997;1685;1601;100;3690
Austria;1998;1473;1603;87;3340
Austria;1999;1393;1659;90;3419
Austria;2000;1598;1609;105;3563
Austria;2001;1336;1436;99;3132
Austria;2002;1300;1459;97;3079
Austria;2003;1706;1434;108;3385
Austria;2004;1488;1532;119;3302
Austria;2005;1645;1465;144;3404
Austria;2006;1434;1651;131;3416
Austria;2007;1327;1800;188;3527
Austria;2008;1961;1879;146;4247
Austria;2009;1710;1392;165;3532
Austria;2010;1685;1589;156;3692
Austria;2011;1544;1505;281;3448
Austria;2012;1634;1545;268;3557
Austria;2013;1493;1227;252;3097
Austria;2014;1641;1376;256;3373
Austria;2015;2131;1317;217;3778
Austria;2016;2007;1281;947;4361
Austria;2017;1992;1297;1193;4625
Austria;2018;2269;1277;1575;5280
Austria;2019;2068;1151;1618;4954
Austria;2020;1931;1153;2371;5566
Austria;2021;2005;1154;2513;5791
Austria;2022;2427;1237;2266;6069
Austria;2023;1719;1163;2255;5251
Belarus;1992;586;1320;34;2097
Belarus;1993;586;1320;34;2097
Belarus;1994;586;1320;34;2097
Belarus;1995;586;1320;34;2097
Belarus;1996;586;1320;34;2097
Belarus;1997;586;1320;34;2097
Belarus;1998;526;1185;30;1882
Belarus;1999;510;1148;29;1823
Belarus;2000;508;1144;29;1817
Belarus;2001;549;1236;32;1963
Belarus;2002;448;1009;26;1604
Belarus;2003;537;1209;31;1920
Belarus;2004;656;1478;38;2348
Belarus;2005;1019;2296;59;3647
Belarus;2006;1087;2449;63;3891
Belarus;2007;1184;2666;68;4235
Belarus;2008;1085;2443;63;3880
Belarus;2009;1083;2439;62;3875
Belarus;2010;947;2132;55;3387
Belarus;2011;871;1929;50;3079
Belarus;2012;691;1506;42;2423
Belarus;2013;657;1358;43;2229
Belarus;2014;588;1107;41;1892
Belarus;2015;444;866;32;1464
Belarus;2016;309;662;23;1078
Belarus;2017;186;468;16;721
Belarus;2018;212;550;20;840
Belarus;2019;1031;2732;113;4171
Belarus;2020;1181;2949;126;4589
Belarus;2021;1206;2452;144;4117
Belarus;2022;1242;2511;146;4231
Belarus;2023;1308;2988;169;4853
Belgium;2000;3056;5188;926;9560
Belgium;2001;2302;4908;893;8529
Belgium;2002;2610;5022;806;9204
Belgium;2003;2351;4865;839;8822
