,Fungicides and Bactericides,Fungicides and Bactericides,Fungicides and Bactericides,Fungicides and Bactericides,Fungicides and Bactericides,Herbicides,Herbicides,Herbicides,Herbicides,Herbicides,Insecticides,Insecticides,Insecticides,Insecticides,Insecticides,Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total)
,mean,median,std,max,min,mean,median,std,max,min,mean,median,std,max,min,mean,median,std,max,min
Area,,,,,,,,,,,,,,,,,,,,
Albania,144.2058823529412,116.5,74.44818389699978,352,44,21.264705882352942,8.0,24.677690604009868,117,5,159.97058823529412,164.0,78.57653489437625,378,37,365.94117647058823,358.0,149.74988059416916,746,121
Austria,1701.6764705882354,1664.0,277.23840747830235,2427,1300,1509.6470588235295,1518.5,250.9553723881624,2167,1151,553.8529411764706,156.5,776.3562963810374,2513,87,3972.8823529411766,3592.0,818.9386244330129,6069,3079
Belarus,736.90625,587.0,317.195712391699,1308,186,1651.0,1320.0,728.7893186427349,2988,468,54.8125,36.0,40.02212089945163,169,16,2641.90625,2097.0,1164.4452468291086,4853,721
Belgium,2474.3333333333335,2479.0,421.1873141764701,3173,1502,3153.5416666666665,2515.0,1245.2244071954913,5556,1921,793.8333333333334,822.5,208.3147006160478,1129,374,6923.291666666667,6485.5,1531.6863249988248,9776,4645
Bulgaria,861.3235294117648,765.0,397.97629901930736,1798,186,1789.1764705882354,1848.0,763.4940602490964,4340,636,332.5,318.5,166.0947611966425,727,83,2997.4117647058824,3069.5,1242.3127288332169,6660,1002
Croatia,848.5,789.0,243.10584446471717,1412,460,1129.84375,1168.5,385.73383012332863,2037,526,148.40625,144.0,85.54374823973538,461,58,2220.34375,2199.0,566.2142880214856,3418,1224
Denmark,713.6764705882352,589.0,287.9836612145899,1426,407,2515.9411764705883,2466.5,615.5110683186911,4564,1239,71.32352941176471,54.5,51.99808888576421,259,22,3530.9411764705883,3284.0,912.0565818830264,5959,1822
Estonia,62.78125,49.0,41.971368409059906,150,11,349.1875,353.5,145.70461446851766,607,85,11.9375,8.0,9.824057042494895,33,1,462.59375,459.5,213.4724971898057,886,133
Finland,2734.5882352941176,2839.5,684.1084052695361,3869,1423,1131.7941176470588,1144.0,234.06393576319152,1580,674,38.44117647058823,28.0,24.96687645233372,118,13,3982.705882352941,4054.0,708.0577587042735,5254,2368
France,39321.14705882353,37047.0,11463.015302537255,64050,24484,29580.147058823528,29576.0,4285.023850804192,40430,22484,4932.85294117647,5286.5,2542.028599752722,11039,1033,80187.08823529411,76677.0,15825.780979087234,114695,54304
Germany,10254.970588235294,10196.0,1356.7770073205031,13266,7660,16079.323529411764,16064.0,1529.7958017942024,19907,12696,6932.823529411765,1512.5,7393.085526644344,21348,852,38536.382352941175,38914.5,7150.798395833919,48712,25170
Greece,2690.1176470588234,2012.0,1341.320827206275,5514,1229,1948.4411764705883,1935.0,615.825693125681,3398,554,1805.235294117647,2056.5,833.6819049952911,3108,586,7395.382352941177,6979.5,3005.9758463384323,13959,3404
Hungary,2784.294117647059,2704.0,874.8445586402942,5869,1492,3972.205882352941,4107.0,825.8542603621348,5613,2161,1055.3529411764705,862.0,616.2664655051732,2540,324,8501.058823529413,8628.5,2173.9843179325735,12756,4151
Ireland,601.1470588235294,599.0,113.10685008672947,922,403,1737.9117647058824,1825.0,475.1363037383324,2812,879,61.88235294117647,55.0,28.22288423063632,110,22,2581.0,2638.0,505.6930437977712,3692,1577
Italy,45417.705882352944,47666.5,11297.944896332714,66856,24286,8686.0,8872.0,1617.7532868054066,11740,4614,11750.029411764706,11951.5,1463.9604334215753,14459,9173,72383.73529411765,75297.5,15501.130940772005,100596,39571
Latvia,158.5625,151.5,83.06194249066525,304,56,616.84375,674.0,324.89046386138284,1188,177,25.5625,26.5,16.71186076780742,70,2,983.375,1016.5,563.7810001490225,1984,285
Lithuania,372.84375,317.0,225.79938417799391,748,110,1115.28125,1126.5,493.48498910889526,1996,482,26.625,25.0,22.87659742351164,86,3,1867.96875,1943.0,981.5484963081745,3614,688
Montenegro,49.05555555555556,60.5,27.756233475239867,75,0,11.277777777777779,11.0,8.013265146034643,25,0,9.222222222222221,8.5,7.150117691796125,24,0,69.83333333333333,84.0,40.09437396355518,119,1
Netherlands,4218.294117647059,4263.5,669.8660440222704,5807,2298,3140.705882352941,3061.0,437.68665486068625,4045,2414,1643.8823529411766,1690.0,896.9300423618702,3443,413,9947.235294117647,9862.0,955.871585733956,12073,7263
Norway,125.8529411764706,116.5,44.38682056165086,241,54,544.7941176470588,524.5,115.74260351046055,965,282,12.911764705882353,10.0,6.057140274634173,28,6,728.3529411764706,728.5,145.30550519361682,1183,348
Poland,4931.823529411765,5163.0,2348.481410957176,10051,1566,8468.85294117647,9438.0,3851.6258206849275,14349,2948,879.0,635.0,569.4191085765574,2748,334,15838.64705882353,17797.0,7229.54913671265,26949,5422
Portugal,8564.5,8785.0,2870.1021864397203,13320,3923,1910.8529411764705,1905.5,289.4535219248916,2411,1196,822.7352941176471,567.5,582.4876281075811,2198,347,12283.970588235294,12449.5,3303.055522843587,17452,6117
Romania,4760.029411764706,3949.5,2794.2303703784146,11891,1684,5165.029411764706,4516.5,1636.7956405140208,9817,3426,1641.1176470588234,1039.0,1378.7556920887116,5797,564,11668.235294117647,10303.5,5270.211703290909,25255,6314
Slovenia,767.0,785.5,126.51992065513099,1142,526,260.25,258.0,62.82951843756862,405,119,76.40625,70.0,34.70786782142743,152,30,1123.09375,1128.0,189.6098471947747,1558,695
Spain,20596.08823529412,14068.0,11746.284375424522,41556,7854,12343.735294117647,12070.5,3266.302388243293,20199,6326,10637.411764705883,10079.0,2875.568835611877,16862,5857,49782.794117647056,40723.0,18009.7276488744,78818,27852
